transport_type,route_id,origin_station,destination_station,weather_condition,event_type,season,day_of_week,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,traffic_congestion_index,holiday,peak_hour,event_attendance_est,log_event_attendance,has_event,year,month,day_of_month,weekday_num,is_weekend,quarter,departure_hour,departure_minute,arrival_hour,arrival_minute,departure_minutes,arrival_minutes,scheduled_trip_duration_min,departure_hour_sin,departure_hour_cos
Metro,Route_5,Station_45,Station_13,Clear,Unknown / Missing Event,Autumn,Monday,26.6,40,22,7.3,56,0,0,0,0.0,0,2023,1,9,0,0,1,3,2,3,30,182,210,28,0.7132504491541816,0.7009092642998509
Tram,Route_8,Station_15,Station_39,Storm,Unknown / Missing Event,Winter,Monday,0.4,73,27,16.2,57,1,0,0,0.0,0,2023,1,16,0,0,1,19,31,20,17,1171,1217,46,-0.9222009716704518,0.3867109616368206
Train,Route_4,Station_42,Station_26,Fog,Unknown / Missing Event,Spring,Friday,28.5,59,55,8.2,66,0,0,0,0.0,0,2023,1,13,4,0,1,3,45,4,30,225,270,45,0.8314696123025452,0.5555702330196023
Train,Route_1,Station_31,Station_14,Snow,Concert,Autumn,Thursday,14.8,57,0,19.6,65,0,1,0,0.0,0,2023,1,12,3,0,1,16,16,16,44,976,1004,28,-0.8987940462991668,-0.43837114678907774
Bus,Route_3,Station_3,Station_24,Storm,Concert,Autumn,Tuesday,-4.3,80,4,6.6,92,0,0,500,6.2166061010848646,1,2023,1,17,1,0,1,8,33,9,12,513,552,39,0.7853169308807448,-0.6190939493098341
Tram,Route_11,Station_40,Station_15,Snow,Unknown / Missing Event,Winter,Tuesday,34.1,46,52,15.7,37,0,1,0,0.0,0,2023,1,17,1,0,1,2,31,3,24,151,204,53,0.6122172800344493,0.7906895737438434
Train,Route_5,Station_2,Station_30,Clear,Unknown / Missing Event,Spring,Thursday,4.3,88,32,1.2,76,0,0,500,6.2166061010848646,1,2023,1,12,3,0,1,17,45,18,26,1065,1106,41,-0.9978589232386035,-0.06540312923014362
Train,Route_11,Station_18,Station_36,Storm,Festival,Spring,Wednesday,26.3,34,52,13.7,91,0,1,500,6.2166061010848646,1,2023,1,18,2,0,1,2,15,2,40,135,160,25,0.5555702330196022,0.8314696123025452
Bus,Route_6,Station_44,Station_44,Rain,Unknown / Missing Event,Summer,Monday,2.2,55,47,4.9,93,0,0,0,0.0,0,2023,1,16,0,0,1,0,16,0,46,16,46,30,0.0697564737441253,0.9975640502598242
Tram,Route_9,Station_25,Station_35,Rain,Festival,Autumn,Thursday,1.1,61,19,16.9,81,0,0,0,0.0,0,2023,1,12,3,0,1,2,30,2,50,150,170,20,0.6087614290087207,0.7933533402912352
Bus,Route_15,Station_49,Station_1,Clear,Sports,Winter,Friday,15.4,53,28,4.3,98,0,0,0,0.0,0,2023,1,20,4,0,1,22,2,22,28,1322,1348,26,-0.4924235601034673,0.8703556959398996
Tram,Route_19,Station_25,Station_30,Rain,Unknown / Missing Event,Spring,Friday,24.0,42,25,9.2,68,0,0,500,6.2166061010848646,1,2023,1,13,4,0,1,22,47,23,44,1367,1424,57,-0.31316380648375036,0.9496991262018767
Metro,Route_9,Station_21,Station_10,Fog,Unknown / Missing Event,Winter,Monday,2.5,66,53,6.7,38,0,0,0,0.0,0,2023,1,16,0,0,1,22,1,22,24,1321,1344,23,-0.49621650367520886,0.8681988144891419
Train,Route_10,Station_6,Station_13,Storm,Unknown / Missing Event,Winter,Friday,18.7,48,21,9.3,38,0,1,50000,10.819798284210286,1,2023,1,6,4,0,1,6,17,6,49,377,409,32,0.9972501850994857,-0.07410849019539922
Train,Route_9,Station_40,Station_50,Fog,Unknown / Missing Event,Summer,Saturday,17.8,74,6,11.1,60,0,0,10000,9.210440366976517,1,2023,1,7,5,1,1,11,46,12,6,706,726,20,0.06104853953485719,-0.9981347984218669
Metro,Route_14,Station_21,Station_7,Snow,Festival,Spring,Friday,31.8,99,46,6.8,57,0,0,50000,10.819798284210286,1,2023,1,20,4,0,1,1,1,1,26,61,86,25,0.2630312144579748,0.964787323828813
Tram,Route_18,Station_29,Station_29,Storm,Sports,Winter,Thursday,5.5,37,4,13.1,95,0,0,0,0.0,0,2023,1,5,3,0,1,21,4,21,31,1264,1291,27,-0.6946583704589976,0.7193398003386509
Tram,Route_6,Station_27,Station_35,Rain,Concert,Winter,Friday,31.4,87,29,6.3,13,0,0,0,0.0,0,2023,1,6,4,0,1,13,1,13,25,781,805,24,-0.26303121445797495,-0.9647873238288129
Bus,Route_16,Station_40,Station_20,Cloudy,Unknown / Missing Event,Autumn,Friday,11.0,77,19,15.3,29,0,0,2000,7.601402334583733,1,2023,1,6,4,0,1,7,1,7,40,421,460,39,0.964787323828813,-0.2630312144579746
Tram,Route_2,Station_30,Station_25,Storm,Unknown / Missing Event,Winter,Sunday,7.0,66,16,0.5,54,0,0,500,6.2166061010848646,1,2023,1,1,6,1,1,20,16,20,54,1216,1254,38,-0.8290375725550421,0.5591929034707462
Bus,Route_19,Station_31,Station_31,Storm,Unknown / Missing Event,Autumn,Friday,33.1,45,43,4.8,86,0,1,0,0.0,0,2023,1,20,4,0,1,11,46,12,41,706,761,55,0.06104853953485719,-0.9981347984218669
Bus,Route_3,Station_44,Station_37,Rain,Unknown / Missing Event,Spring,Monday,13.6,98,37,17.2,73,1,0,50000,10.819798284210286,1,2023,1,16,0,0,1,4,16,5,12,256,312,56,0.898794046299167,0.43837114678907746
Metro,Route_14,Station_47,Station_41,Snow,Unknown / Missing Event,Winter,Friday,9.3,42,25,6.0,76,0,0,0,0.0,0,2023,1,13,4,0,1,11,15,11,53,675,713,38,0.19509032201612816,-0.9807852804032304
Tram,Route_11,Station_20,Station_43,Cloudy,Festival,Winter,Tuesday,9.2,34,17,14.4,96,0,1,0,0.0,0,2023,1,10,1,0,1,15,1,15,52,901,952,51,-0.7101853756232851,-0.7040147244559687
Bus,Route_7,Station_8,Station_17,Fog,Unknown / Missing Event,Spring,Thursday,8.3,49,20,10.2,16,0,0,50000,10.819798284210286,1,2023,1,12,3,0,1,9,33,10,16,573,616,43,0.5983246005706592,-0.8012538126910606
Train,Route_11,Station_50,Station_9,Clear,Unknown / Missing Event,Winter,Thursday,3.8,54,11,3.1,66,1,0,0,0.0,0,2023,1,19,3,0,1,5,4,5,35,304,335,31,0.9702957262759965,0.2419218955996679
Bus,Route_7,Station_17,Station_18,Storm,Unknown / Missing Event,Spring,Sunday,5.5,40,40,15.0,52,0,1,50000,10.819798284210286,1,2023,1,8,6,1,1,8,3,8,22,483,502,19,0.8594064115014528,-0.5112930860770519
Bus,Route_14,Station_48,Station_18,Clear,Festival,Summer,Monday,3.1,35,17,12.9,68,0,0,0,0.0,0,2023,1,16,0,0,1,17,34,18,15,1054,1095,41,-0.9935718556765875,-0.11320321376790694
Metro,Route_18,Station_29,Station_45,Rain,Unknown / Missing Event,Summer,Sunday,30.6,63,41,3.3,78,0,0,50000,10.819798284210286,1,2023,1,8,6,1,1,15,48,16,35,948,995,47,-0.8386705679454242,-0.544639035015027
Tram,Route_16,Station_46,Station_44,Storm,Unknown / Missing Event,Summer,Thursday,23.7,96,46,7.4,39,0,1,500,6.2166061010848646,1,2023,1,5,3,0,1,22,46,23,26,1366,1406,40,-0.31730465640509187,0.9483236552061994
Train,Route_10,Station_6,Station_46,Fog,Unknown / Missing Event,Winter,Tuesday,26.2,80,43,1.1,48,0,0,0,0.0,0,2023,1,10,1,0,1,1,17,2,7,77,127,50,0.3296906452627873,0.9440890203927842
Tram,Route_15,Station_47,Station_23,Rain,Unknown / Missing Event,Summer,Friday,32.6,57,5,7.8,27,0,0,0,0.0,0,2023,1,20,4,0,1,17,2,17,31,1022,1051,29,-0.9681476403781076,-0.25038000405444183
Tram,Route_5,Station_31,Station_12,Cloudy,Unknown / Missing Event,Summer,Friday,28.1,84,9,12.6,77,0,0,10000,9.210440366976517,1,2023,1,6,4,0,1,16,16,16,52,976,1012,36,-0.8987940462991668,-0.43837114678907774
Train,Route_3,Station_40,Station_41,Fog,Unknown / Missing Event,Summer,Monday,34.6,60,51,4.5,23,0,0,10000,9.210440366976517,1,2023,1,16,0,0,1,18,18,18,37,1098,1117,19,-0.9969173337331281,0.07845909572784432
Tram,Route_1,Station_46,Station_5,Clear,Unknown / Missing Event,Autumn,Friday,4.9,87,33,18.8,36,0,0,2000,7.601402334583733,1,2023,1,13,4,0,1,14,1,14,52,841,892,51,-0.5037739770455262,-0.8638355052043958
Metro,Route_11,Station_22,Station_35,Cloudy,Unknown / Missing Event,Summer,Friday,17.8,59,56,9.9,20,0,0,500,6.2166061010848646,1,2023,1,13,4,0,1,15,16,15,57,916,957,41,-0.7547095802227717,-0.6560590289905077
Metro,Route_17,Station_10,Station_19,Storm,Unknown / Missing Event,Autumn,Wednesday,6.0,31,37,7.9,20,0,0,0,0.0,0,2023,1,11,2,0,1,10,2,10,36,602,636,34,0.49242356010346716,-0.8703556959398997
Tram,Route_3,Station_17,Station_49,Cloudy,Unknown / Missing Event,Autumn,Wednesday,3.0,76,24,11.3,62,0,0,0,0.0,0,2023,1,11,2,0,1,5,48,6,15,348,375,27,0.9986295347545738,0.052335956242943966
Bus,Route_10,Station_12,Station_23,Storm,Concert,Autumn,Tuesday,5.8,65,49,14.6,89,0,0,0,0.0,0,2023,1,10,1,0,1,16,49,17,34,1009,1054,45,-0.9523957996432783,-0.3048642990280112
Metro,Route_3,Station_38,Station_25,Clear,Sports,Spring,Monday,21.2,53,37,6.7,59,0,1,0,0.0,0,2023,1,9,0,0,1,8,34,9,20,514,560,46,0.782608156852414,-0.6225146366376194
Train,Route_11,Station_13,Station_32,Snow,Unknown / Missing Event,Spring,Friday,31.4,42,34,11.9,42,0,1,0,0.0,0,2023,1,20,4,0,1,9,16,10,9,556,609,53,0.6560590289905073,-0.754709580222772
