feature,importance
num__departure_minutes,0.04673530073095469
num__temperature_C,0.045503583330439266
num__departure_hour_cos,0.0454019301481786
num__arrival_minute,0.04510203464883256
num__departure_hour_sin,0.04181342577310626
num__arrival_minutes,0.041164987956963085
num__precipitation_mm,0.041088245003698634
num__traffic_congestion_index,0.04049295279081742
num__humidity_percent,0.040268056024476896
num__wind_speed_kmh,0.03631126445292044
num__scheduled_trip_duration_min,0.0352982648983529
num__day_of_month,0.0347267280816166
num__departure_minute,0.0320346542227467
num__departure_hour,0.02903729904974593
num__arrival_hour,0.026240958093407367
num__log_event_attendance,0.020522560204589767
num__weekday_num,0.017536551863562896
num__event_attendance_est,0.01499635438170972
cat__day_of_week_Friday,0.01020739605147371
num__has_event,0.009519130912710408
cat__season_Autumn,0.009305014022442128
cat__destination_station_Station_19,0.008218557273790348
cat__season_Summer,0.007940827785881817
cat__origin_station_Station_22,0.007029460823804849
cat__transport_type_Tram,0.006873485099440727
cat__event_type_Unknown / Missing Event,0.006822956342036052
num__peak_hour,0.006600038367992646
cat__transport_type_Train,0.0065971781216858484
cat__weather_condition_Storm,0.006376821753954336
cat__season_Spring,0.006003106380043854
cat__day_of_week_Thursday,0.005953459642391117
cat__season_Winter,0.00583969727285717
cat__weather_condition_Clear,0.005713387637275164
cat__transport_type_Metro,0.005541225430515252
cat__transport_type_Bus,0.005507063110996682
cat__destination_station_Station_30,0.005413026809897283
cat__route_id_Route_13,0.005398225484028971
cat__day_of_week_Sunday,0.0047655253774199265
cat__origin_station_Station_40,0.004702766924063088
num__holiday,0.0044887439684154155
cat__route_id_Route_12,0.004448845242258657
cat__weather_condition_Snow,0.004368666926235471
num__is_weekend,0.004327265873763823
cat__weather_condition_Cloudy,0.004265358691496747
cat__route_id_Route_11,0.0042314157246573616
cat__destination_station_Station_22,0.004197810460754831
cat__weather_condition_Rain,0.004016685627490663
cat__weather_condition_Fog,0.003989225710766977
cat__destination_station_Station_15,0.0038183391251785785
cat__origin_station_Station_14,0.003717690423184293
cat__origin_station_Station_26,0.00368603154949772
cat__event_type_Concert,0.0036125512287683765
cat__day_of_week_Wednesday,0.0035738032903155307
cat__destination_station_Station_25,0.0033972017424099845
cat__destination_station_Station_7,0.003332869238161389
cat__destination_station_Station_13,0.0032399575051089966
cat__event_type_Sports,0.003169896416312747
cat__origin_station_Station_41,0.003168343372690521
cat__origin_station_Station_29,0.003143873679670393
cat__day_of_week_Monday,0.0030170334477206385
cat__route_id_Route_15,0.0029613736292914954
cat__destination_station_Station_26,0.002894282682501213
cat__origin_station_Station_17,0.002755101183695154
cat__route_id_Route_3,0.0027058771111904607
cat__route_id_Route_8,0.002694944608712429
cat__event_type_Festival,0.002686488248304572
cat__route_id_Route_10,0.0026841666768663186
cat__origin_station_Station_37,0.0026742558196815903
cat__day_of_week_Tuesday,0.0025917311070730287
cat__destination_station_Station_40,0.0025332284041809615
cat__origin_station_Station_2,0.002513412806050181
cat__route_id_Route_5,0.002477933708100275
cat__route_id_Route_9,0.002441563535030271
cat__origin_station_Station_49,0.002437998979317908
cat__route_id_Route_18,0.002431383737322415
cat__destination_station_Station_16,0.0023755068976159775
cat__origin_station_Station_34,0.00236666442624246
cat__destination_station_Station_5,0.0022710593769947047
cat__origin_station_Station_48,0.002260933576149311
cat__route_id_Route_16,0.002221236045264716
cat__destination_station_Station_46,0.002207845915629623
cat__destination_station_Station_17,0.002150370661955233
cat__origin_station_Station_31,0.0021365357515408996
cat__route_id_Route_19,0.0021084116291606586
cat__route_id_Route_17,0.0021077364977307085
cat__destination_station_Station_10,0.002031090089282136
cat__day_of_week_Saturday,0.002007207572590614
cat__destination_station_Station_9,0.001999080274002037
cat__origin_station_Station_5,0.0019847780376299686
cat__destination_station_Station_43,0.0019319774664355298
cat__route_id_Route_14,0.0018563899171136948
cat__route_id_Route_1,0.0018509292088312915
cat__origin_station_Station_43,0.0018208766416327154
cat__route_id_Route_2,0.0016651104191076796
cat__event_type_Parade,0.001579444667673559
cat__destination_station_Station_4,0.001553515046449696
cat__route_id_Route_6,0.0015384871567724863
cat__origin_station_Station_20,0.001536105125397514
cat__route_id_Route_7,0.0015277506379018368
cat__origin_station_Station_4,0.0015047006492291016
cat__destination_station_Station_20,0.0014745442511962191
cat__destination_station_Station_34,0.0014443690923811108
cat__origin_station_Station_16,0.0014080853291608976
cat__origin_station_Station_8,0.001365308627368034
cat__origin_station_Station_12,0.0012824928567355504
cat__destination_station_Station_50,0.0012703892214687177
cat__origin_station_Station_10,0.0012668842286378238
cat__origin_station_Station_39,0.001254401071601462
cat__origin_station_Station_30,0.0012469377597106681
cat__origin_station_Station_1,0.0012369297056272967
cat__origin_station_Station_36,0.0011999578454510308
cat__origin_station_Station_32,0.0011875292085685195
cat__route_id_Route_4,0.0011754531202734313
cat__destination_station_Station_33,0.0011444717731601665
cat__event_type_Protest,0.001144106239983343
cat__destination_station_Station_39,0.0011125886667822376
cat__destination_station_Station_49,0.0010898788591726803
cat__origin_station_Station_47,0.001079679168396724
cat__origin_station_Station_25,0.0010707251637943518
cat__destination_station_Station_14,0.0010633604590242925
cat__origin_station_Station_42,0.0010294548690077316
cat__route_id_Route_20,0.0009993345751030454
cat__origin_station_Station_35,0.0009989954358589268
cat__origin_station_Station_18,0.0009911153069756156
cat__origin_station_Station_15,0.0009632092589652589
cat__destination_station_Station_27,0.0009558356595323218
cat__destination_station_Station_23,0.0009517372590003708
cat__origin_station_Station_13,0.0009515205902443083
cat__origin_station_Station_45,0.0009203203106506365
cat__origin_station_Station_19,0.0008866005889519707
cat__origin_station_Station_6,0.0008865465980993618
cat__destination_station_Station_42,0.0008690754917214759
cat__destination_station_Station_45,0.0008621672945367121
cat__origin_station_Station_46,0.0008619703516446696
cat__destination_station_Station_32,0.0008599393105901476
cat__origin_station_Station_44,0.0008450399873094008
cat__destination_station_Station_11,0.0008407182586119058
cat__origin_station_Station_50,0.0008314345637940185
cat__destination_station_Station_29,0.0008137592622680665
cat__destination_station_Station_48,0.0008056952176348522
cat__destination_station_Station_18,0.0007940886659408139
cat__destination_station_Station_41,0.0007615905029483879
cat__destination_station_Station_6,0.0007247751618693709
cat__origin_station_Station_28,0.0007202711647205689
cat__destination_station_Station_38,0.0007155879907928285
cat__destination_station_Station_2,0.000707502351204247
cat__destination_station_Station_37,0.0006775139921581934
cat__origin_station_Station_9,0.0006636696142558066
cat__destination_station_Station_44,0.0006636535305709042
cat__destination_station_Station_21,0.0006632976561627338
cat__origin_station_Station_24,0.000629010798021467
cat__origin_station_Station_27,0.0005997916297742469
cat__destination_station_Station_35,0.0005978385233710633
cat__destination_station_Station_12,0.000558671395660851
cat__destination_station_Station_1,0.0005350717388609288
cat__origin_station_Station_7,0.0005275070230975939
cat__destination_station_Station_36,0.0005184890119659321
cat__destination_station_Station_28,0.0005031925660485919
cat__origin_station_Station_3,0.0004774261960816063
cat__destination_station_Station_31,0.000464283305132806
cat__destination_station_Station_3,0.0004642267833461831
cat__destination_station_Station_47,0.00044640192796146036
cat__origin_station_Station_23,0.00040189347506485487
cat__destination_station_Station_24,0.000401688031168583
cat__origin_station_Station_21,0.00036618212954771413
cat__origin_station_Station_38,0.00031319046402566357
cat__origin_station_Station_11,0.0002483707899406734
cat__origin_station_Station_33,0.0001870448185194808
cat__destination_station_Station_8,0.00013260847145846465
num__quarter,0.0
num__month,0.0
num__year,0.0
